,countries,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Belgium,6.302,7.086,7.671,8.038,8.06,8.744,9.136,9.472,9.929,13.0
1,Bulgaria,14.152,15.837,18.898,18.05,18.261,18.76,18.695,20.581,21.546,23.319
2,Czechia,10.945,12.814,13.927,15.074,15.07,14.926,14.799,15.14,16.239,17.303
3,Denmark,23.389,25.465,27.173,29.31,30.469,31.715,34.387,35.16,37.02,31.681
4,Germany (until 1990 former territory of the FRG),12.47,13.549,13.76,14.385,14.906,14.889,15.476,16.66,17.266,19.312
5,Estonia,25.515,25.586,25.356,26.13,28.987,29.232,29.538,29.97,31.73,30.069
6,Ireland,6.605,7.029,7.521,8.516,9.083,9.189,10.52,10.942,11.979,16.16
7,Greece,11.153,13.741,15.326,15.683,15.69,15.391,17.3,18.001,19.633,21.749
8,Spain,13.176,14.239,15.081,15.88,16.221,17.015,17.118,17.023,17.852,21.22
9,France,10.813,13.239,13.88,14.362,14.803,15.451,15.847,16.384,17.174,19.109
10,Croatia,25.389,26.757,28.04,27.817,28.969,28.266,27.28,28.047,28.466,31.023
11,Italy,12.881,15.441,16.741,17.082,17.526,17.415,18.267,17.796,18.181,20.359
12,Cyprus,6.245,7.111,8.428,9.144,9.903,9.833,10.478,13.873,13.777,16.879
13,Latvia,33.478,35.709,37.037,38.629,37.538,37.138,39.008,40.019,40.929,42.132
14,Lithuania,19.943,21.437,22.689,23.592,25.748,25.613,26.038,24.695,25.475,26.773
15,Luxembourg,2.855,3.112,3.494,4.471,4.987,5.364,6.194,8.942,7.046,11.699
16,Hungary,13.972,15.53,16.205,14.618,14.495,14.377,13.556,12.549,12.634,13.85
17,Malta,1.85,2.862,3.76,4.744,5.119,6.208,7.219,7.914,8.23,10.714
18,Netherlands,4.524,4.659,4.691,5.415,5.714,5.846,6.507,7.394,8.886,13.999
19,Austria,31.552,32.734,32.665,33.55,33.498,33.37,33.137,33.784,33.755,36.545
20,Poland,10.337,10.955,11.452,11.605,11.881,11.396,11.059,14.936,15.377,16.102
21,Portugal,24.603,24.574,25.7,29.508,30.514,30.864,30.611,30.203,30.623,33.982
22,Romania,21.743,22.825,23.886,24.845,24.785,25.032,24.454,23.875,24.29,24.478
23,Slovenia,20.937,21.551,23.161,22.459,22.879,21.975,21.658,21.378,21.968,25.0
24,Slovakia,10.348,10.453,10.133,11.713,12.883,12.029,11.465,11.896,16.894,17.345
25,Finland,32.532,34.222,36.63,38.632,39.228,38.942,40.855,41.182,42.723,43.802
26,Sweden,47.632,49.403,50.153,51.151,52.22,52.597,53.39,53.916,55.785,60.124
27,Iceland,72.298,73.727,73.788,73.043,71.949,75.329,74.104,77.173,78.612,83.725
28,Norway,64.638,64.932,66.48,68.406,68.545,69.235,70.036,71.566,74.406,77.358
29,United Kingdom,4.392,4.461,5.524,6.737,8.385,9.032,9.858,11.138,12.336,0.0
30,Montenegro,40.648,41.513,43.696,44.098,43.073,41.529,39.693,38.801,37.722,43.77
31,North Macedonia,16.407,18.128,18.509,19.559,19.526,18.044,19.636,18.179,17.485,19.222
32,Albania,31.187,35.152,33.167,31.856,34.913,36.953,35.777,36.572,38.042,45.015
33,Serbia,19.118,20.79,21.095,22.864,21.989,21.147,20.287,20.32,21.443,25.983
34,Bosnia and Herzegovina,17.995,18.014,19.307,24.873,26.607,25.358,23.241,35.972,37.578,0.0
35,Kosovo (under United Nations Security Council Resolution 1244/99),17.598,18.625,18.823,19.544,18.484,24.472,23.082,24.616,24.215,24.401
36,Moldova,22.081,24.328,24.42,26.169,26.173,26.888,27.836,27.476,23.844,25.057
