siec,nrg_bal,unit,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
TOTAL,FC_E,GJ_HAB,AL	30.3 	31.1 	30.3 	27.7 	28.6 	29.9 	28.4 	25.9 	28.2 	27.4 	26.5 	24.9 	23.8 	23.8 	25.8 	26.7 	23.7 	24.2 	20.9 	20.4 	20.2 	12.5 	11.1 	13.7 	12.6 	12.4 	12.3 	13.3 	18.3 	24.7 
TOTAL,FC_E,GJ_HAB,AT	123.1 	122.7 	125.5 	124.2 	122.1 	119.9 	126.4 	124.4 	124.6 	129.5 	123.6 	127.4 	127.5 	130.2 	130.3 	127.8 	127.1 	120.9 	120.3 	113.5 	113.8 	112.8 	109.7 	112.5 	103.6 	99.1 	101.7 	100.2 	103.6 	97.0 
TOTAL,FC_E,GJ_HAB,BA	: 	: 	41.9 	42.3 	39.5 	35.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,FC_E,GJ_HAB,BE	118.1 	120.9 	120.7 	122.9 	122.3 	117.3 	126.8 	123.5 	122.3 	133.7 	126.6 	131.7 	128.4 	133.7 	134.8 	139.6 	139.8 	135.6 	143.0 	136.9 	135.2 	136.4 	133.8 	136.9 	128.9 	125.6 	123.5 	125.3 	124.8 	118.9 
TOTAL,FC_E,GJ_HAB,BG	58.6 	58.5 	58.1 	56.3 	55.1 	51.8 	50.3 	52.5 	52.3 	49.6 	48.0 	54.1 	54.9 	55.2 	52.9 	50.0 	49.6 	46.2 	45.9 	44.9 	44.4 	50.5 	51.6 	55.5 	53.7 	50.8 	50.4 	51.8 	58.4 	77.4 
TOTAL,FC_E,GJ_HAB,CY	76.4 	75.1 	74.7 	72.6 	70.0 	68.0 	67.4 	72.5 	78.2 	81.0 	83.9 	86.6 	86.5 	84.6 	85.2 	86.4 	85.3 	81.9 	81.3 	81.6 	79.3 	77.9 	75.3 	75.9 	72.9 	71.0 	69.6 	69.1 	68.0 	60.0 
TOTAL,FC_E,GJ_HAB,CZ	95.0 	94.9 	96.3 	93.6 	91.5 	89.1 	92.0 	92.9 	93.0 	96.2 	95.1 	98.6 	99.2 	102.3 	101.8 	102.9 	102.4 	98.1 	100.6 	98.3 	95.2 	98.5 	102.2 	103.4 	101.7 	102.7 	109.6 	112.4 	113.9 	126.6 
TOTAL,FC_E,GJ_HAB,DE	101.0 	101.2 	103.3 	103.1 	101.7 	101.1 	107.5 	105.2 	103.7 	109.5 	100.7 	106.5 	101.8 	108.3 	105.4 	106.9 	107.6 	105.5 	107.2 	105.3 	106.9 	109.2 	110.1 	112.4 	107.6 	106.3 	109.1 	108.6 	112.8 	114.4 
TOTAL,FC_E,GJ_HAB,DK	97.7 	99.6 	99.9 	100.2 	98.9 	95.3 	99.9 	101.5 	105.7 	111.6 	106.8 	111.9 	113.9 	114.2 	113.4 	113.0 	112.3 	110.2 	112.2 	109.5 	112.3 	113.3 	114.3 	117.6 	113.5 	111.8 	112.6 	109.1 	111.1 	105.0 
TOTAL,FC_E,GJ_HAB,EA19	90.4 	91.0 	91.2 	90.7 	89.4 	87.9 	92.7 	92.8 	93.0 	97.7 	93.8 	99.0 	98.2 	100.8 	101.2 	101.3 	101.0 	98.6 	99.7 	97.3 	96.8 	96.7 	95.2 	96.7 	92.9 	91.3 	92.3 	92.8 	94.9 	93.1 
TOTAL,FC_E,GJ_HAB,EE	89.0 	91.1 	88.9 	88.8 	87.5 	88.3 	90.6 	90.1 	88.7 	90.7 	86.0 	94.9 	95.1 	88.6 	87.6 	86.1 	83.9 	79.5 	80.3 	72.6 	72.0 	78.4 	85.6 	87.4 	78.3 	82.3 	82.5 	94.6 	139.4 	145.6 
TOTAL,FC_E,GJ_HAB,EL	60.3 	59.2 	61.3 	61.8 	61.2 	57.3 	56.4 	62.6 	68.9 	69.3 	74.3 	77.0 	79.8 	78.3 	76.8 	75.1 	76.3 	72.5 	71.4 	69.0 	67.2 	68.1 	65.0 	63.2 	59.0 	57.6 	57.2 	57.5 	57.6 	56.3 
TOTAL,FC_E,GJ_HAB,ES	72.1 	72.7 	71.4 	70.1 	68.5 	67.6 	68.4 	70.8 	73.6 	76.5 	75.6 	81.7 	85.5 	84.6 	88.4 	86.8 	84.5 	80.9 	80.9 	78.2 	73.5 	71.3 	67.9 	65.6 	64.3 	63.1 	60.5 	61.7 	61.2 	59.0 
TOTAL,FC_E,GJ_HAB,EU27_2020	87.6 	88.1 	88.2 	87.2 	85.6 	83.9 	88.0 	88.4 	88.7 	92.5 	88.8 	93.2 	92.6 	94.6 	94.6 	94.5 	94.0 	91.6 	92.4 	90.3 	90.1 	90.6 	90.2 	91.8 	87.9 	86.3 	87.4 	87.5 	90.4 	90.4 
TOTAL,FC_E,GJ_HAB,FI	186.8 	190.1 	186.8 	182.5 	175.6 	178.9 	180.6 	184.3 	183.4 	194.5 	177.9 	190.7 	199.2 	199.8 	190.9 	199.0 	198.0 	196.1 	191.5 	187.9 	188.5 	188.0 	181.7 	177.2 	174.2 	177.5 	169.4 	169.6 	170.7 	175.0 
TOTAL,FC_E,GJ_HAB,FR	86.6 	87.5 	89.0 	89.9 	88.5 	86.8 	94.1 	93.1 	90.4 	94.0 	91.9 	95.2 	94.1 	97.1 	99.5 	100.7 	100.3 	99.5 	102.4 	99.3 	98.9 	99.0 	96.8 	99.0 	94.7 	94.0 	96.5 	97.5 	97.6 	91.6 
TOTAL,FC_E,GJ_HAB,GE	: 	45.8 	46.5 	46.0 	43.1 	41.8 	34.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,FC_E,GJ_HAB,HR	69.6 	68.8 	69.5 	66.2 	65.1 	61.0 	63.9 	64.6 	67.4 	69.7 	69.2 	71.1 	70.0 	69.7 	69.5 	67.3 	65.7 	61.5 	60.6 	57.8 	57.1 	55.0 	53.9 	50.4 	47.8 	45.6 	44.9 	44.2 	50.8 	56.5 
TOTAL,FC_E,GJ_HAB,HU	77.2 	76.4 	76.5 	74.0 	71.8 	67.1 	69.0 	67.7 	71.4 	70.9 	69.3 	70.5 	70.4 	74.5 	75.5 	70.7 	71.5 	68.3 	67.9 	64.3 	65.1 	63.9 	63.6 	65.9 	63.4 	63.1 	63.6 	63.9 	72.9 	76.5 
TOTAL,FC_E,GJ_HAB,IE	94.9 	96.6 	93.6 	94.7 	92.2 	90.4 	91.9 	92.2 	94.5 	101.8 	103.1 	113.1 	113.2 	117.1 	115.6 	112.7 	111.9 	110.3 	112.1 	110.3 	103.6 	99.3 	92.5 	90.6 	87.4 	86.6 	83.5 	82.4 	83.6 	82.6 
TOTAL,FC_E,GJ_HAB,IS	335.3 	357.5 	338.2 	341.5 	355.6 	346.7 	346.2 	336.3 	329.1 	330.4 	337.5 	333.4 	289.8 	268.9 	258.1 	264.5 	261.7 	264.4 	255.9 	255.1 	244.6 	235.8 	229.6 	230.7 	221.4 	223.9 	218.2 	214.9 	211.5 	216.9 
