Seguimiento de la demanda de energía eléctrica (MW)

Hora,Real,Prevista,Programada
"2022-08-15 21:00","26333","27239","26786",
"2022-08-15 21:05","26732","27533","26786",
"2022-08-15 21:10","26904","27712","26786",
"2022-08-15 21:15","27219","27774","27416",
"2022-08-15 21:20","27547","27788","27416",
"2022-08-15 21:25","27589","27819","27416",
"2022-08-15 21:30","27623","27867","27706",
"2022-08-15 21:35","27956","27911","27706",
"2022-08-15 21:40","27976","27928","27706",
"2022-08-15 21:45","27880","27917","27708",
"2022-08-15 21:50","27847","27899","27708",
"2022-08-15 21:55","27899","27896","27708",
"2022-08-15 22:00","27751","27908","27660",
"2022-08-15 22:05","27594","27905","27660",
"2022-08-15 22:10","27474","27859","27660",
"2022-08-15 22:15","27311","27771","27560",
"2022-08-15 22:20","27418","27659","27560",
"2022-08-15 22:25","27386","27542","27560",
"2022-08-15 22:30","27275","27420","27150",
"2022-08-15 22:35","27156","27295","27150",
"2022-08-15 22:40","26801","27169","27150",
"2022-08-15 22:45","26550","27041","26860",
"2022-08-15 22:50","26609","26899","26860",
"2022-08-15 22:55","26383","26732","26860",
"2022-08-15 23:00","26296","26540","26001",
"2022-08-15 23:05","26161","26355","26001",
"2022-08-15 23:10","25949","26210","26001",
"2022-08-15 23:15","25850","26105","25601",
"2022-08-15 23:20","25575","26016","25601",
"2022-08-15 23:25","25356","25915","25601",
"2022-08-15 23:30","25133","25803","25101",
"2022-08-15 23:35","25087","25697","25101",
"2022-08-15 23:40","24985","25610","25101",
"2022-08-15 23:45","24876","25544","24391",
"2022-08-15 23:50","24849","25458","24391",
"2022-08-15 23:55","24623","25309","24391",
"2022-08-16 00:00","24514","25097","24198",
"2022-08-16 00:05","24619","24884","24198",
"2022-08-16 00:10","24679","24728","24198",
"2022-08-16 00:15","24631","24631","24098",
"2022-08-16 00:20","24534","24553","24098",
"2022-08-16 00:25","24503","24454","24098",
"2022-08-16 00:30","24167","24336","23698",
"2022-08-16 00:35","24061","24217","23698",
"2022-08-16 00:40","23926","24115","23698",
"2022-08-16 00:45","23966","24032","23698",
"2022-08-16 00:50","23579","23931","23698",
"2022-08-16 00:55","23582","23779","23698",
"2022-08-16 01:00","23397","23576","23099",
"2022-08-16 01:05","23306","23373","23099",
"2022-08-16 01:10","23164","23222","23099",
"2022-08-16 01:15","23155","23123","22649",
"2022-08-16 01:20","23034","23044","22649",
"2022-08-16 01:25","22802","22954","22649",
"2022-08-16 01:30","22707","22854","22699",
"2022-08-16 01:35","22592","22757","22699",
"2022-08-16 01:40","22582","22679","22699",
"2022-08-16 01:45","22462","22619","22499",
"2022-08-16 01:50","22319","22549","22499",
"2022-08-16 01:55","22321","22440","22499",
"2022-08-16 02:00","22240","22292","21899",
"2022-08-16 02:05","22103","22146","21899",
"2022-08-16 02:10","22009","22045","21899",
"2022-08-16 02:15","21836","21987","21899",
"2022-08-16 02:20","21866","21947","21899",
"2022-08-16 02:25","21935","21897","21899",
"2022-08-16 02:30","21924","21837","21599",
"2022-08-16 02:35","21717","21779","21599",
"2022-08-16 02:40","21743","21735","21599",
"2022-08-16 02:45","21690","21704","21499",
"2022-08-16 02:50","21583","21665","21499",
"2022-08-16 02:55","21627","21598","21499",
"2022-08-16 03:00","21420","21504","21395",
"2022-08-16 03:05","21473","21410","21395",
"2022-08-16 03:10","21531","21346","21395",
"2022-08-16 03:15","21280","21312","21275",
"2022-08-16 03:20","21269","21291","21275",
"2022-08-16 03:25","21227","21266","21275",
"2022-08-16 03:30","21140","21236","20897",
"2022-08-16 03:35","21090","21204","20897",
"2022-08-16 03:40","20977","21173","20897",
"2022-08-16 03:45","21057","21141","21135",
"2022-08-16 03:50","20968","21117","21135",
"2022-08-16 03:55","20993","21110","21135",
"2022-08-16 04:00","20864","21118","21026",
"2022-08-16 04:05","21016","21126","21026",
"2022-08-16 04:10","20942","21119","21026",
"2022-08-16 04:15","20918","21095","20896",
"2022-08-16 04:20","20848","21065","20896",
"2022-08-16 04:25","20799","21036","20896",
"2022-08-16 04:30","20886","21008","20896",
"2022-08-16 04:35","20945","20998","20896",
"2022-08-16 04:40","20878","21021","20896",
"2022-08-16 04:45","20695","21077","20763",
"2022-08-16 04:50","20845","21103","20763",
"2022-08-16 04:55","20954","21036","20763",
"2022-08-16 05:00","20857","20878","20803",
"2022-08-16 05:05","20793","20734","20803",
"2022-08-16 05:10","20883","20715","20803",
"2022-08-16 05:15","21027","20819","20933",
"2022-08-16 05:20","21013","20975","20933",
"2022-08-16 05:25","21006","21113","20933",
"2022-08-16 05:30","21073","21233","21293",
"2022-08-16 05:35","21180","21347","21293",
"2022-08-16 05:40","21337","21471","21293",
"2022-08-16 05:45","21340","21604","21593",
"2022-08-16 05:50","21423","21752","21593",
"2022-08-16 05:55","21417","21921","21593",
"2022-08-16 06:00","21696","22111","22294",
"2022-08-16 06:05","22182","22301","22294",
"2022-08-16 06:10","22317","22469","22294",
"2022-08-16 06:15","22437","22616","22823",
"2022-08-16 06:20","22570","22754","22823",
"2022-08-16 06:25","22745","22895","22823",
"2022-08-16 06:30","22856","23040","23189",
"2022-08-16 06:35","22867","23187","23189",
"2022-08-16 06:40","22997","23337","23189",
"2022-08-16 06:45","23030","23488","23589",
"2022-08-16 06:50","23220","23631","23589",
"2022-08-16 06:55","23453","23755","23589",
"2022-08-16 07:00","23506","23861","23938",
"2022-08-16 07:05","23861","23963","23938",
"2022-08-16 07:10","23967","24074","23938",
"2022-08-16 07:15","23904","24194","24096",
"2022-08-16 07:20","23908","24317","24096",
"2022-08-16 07:25","24052","24435","24096",
"2022-08-16 07:30","23932","24546","24006",
"2022-08-16 07:35","24070","24660","24006",
"2022-08-16 07:40","24103","24785","24006",
"2022-08-16 07:45","24230","24922","24006",
"2022-08-16 07:50","24147","25046","24006",
"2022-08-16 07:55","24069","25132","24006",
"2022-08-16 08:00","24178","25181","24489",
"2022-08-16 08:05","24423","25233","24489",
"2022-08-16 08:10","24551","25328","24489",
"2022-08-16 08:15","24581","25466","24689",
"2022-08-16 08:20","24770","25618","24689",
"2022-08-16 08:25","24890","25752","24689",
"2022-08-16 08:30","24894","25869","25399",
"2022-08-16 08:35","25013","25994","25399",
"2022-08-16 08:40","25268","26150","25399",
"2022-08-16 08:45","25328","26336","25599",
"2022-08-16 08:50","25450","26486","25599",
"2022-08-16 08:55","25562","26531","25599",
"2022-08-16 09:00","25779","26473","26001",
"2022-08-16 09:05","25963","26419","26001",
"2022-08-16 09:10","26317","26479","26001",
"2022-08-16 09:15","26218","26653","26201",
"2022-08-16 09:20","26413","26865","26201",
"2022-08-16 09:25","26422","27039","26201",
"2022-08-16 09:30","26591","27175","26501",
"2022-08-16 09:35","26605","27299","26501",
"2022-08-16 09:40","26646","27434","26501",
"2022-08-16 09:45","26788","27582","26991",
"2022-08-16 09:50","26922","27717","26991",
"2022-08-16 09:55","27036","27812","26991",
"2022-08-16 10:00","27366","27868","27200",
"2022-08-16 10:05","27156","27916","27200",
"2022-08-16 10:10","27304","27985","27200",
"2022-08-16 10:15","27411","28074","27800",
"2022-08-16 10:20","27607","28165","27800",
"2022-08-16 10:25","27706","28236","27800",
"2022-08-16 10:30","27835","28288","27754",
"2022-08-16 10:35","27744","28343","27754",
"2022-08-16 10:40","27836","28425","27754",
"2022-08-16 10:45","27912","28532","27891",
"2022-08-16 10:50","27843","28599","27891",
"2022-08-16 10:55","28071","28561","27891",
"2022-08-16 11:00","28260","28416","28391",
"2022-08-16 11:05","28597","28273","28391",
"2022-08-16 11:10","28388","28242","28391",
"2022-08-16 11:15","28609","28322","28524",
"2022-08-16 11:20","28504","28441","28524",
"2022-08-16 11:25","28703","28528","28524",
"2022-08-16 11:30","28640","28582","28701",
"2022-08-16 11:35","28739","28627","28701",
"2022-08-16 11:40","28887","28687","28701",
"2022-08-16 11:45","28700","28760","28701",
"2022-08-16 11:50","28715","28827","28701",
"2022-08-16 11:55","28853","28869","28701",
"2022-08-16 12:00","28854","28886","28750",
"2022-08-16 12:05","28790","28903","28750",
"2022-08-16 12:10","29021","28948","28750",
"2022-08-16 12:15","28991","29020","29190",
"2022-08-16 12:20","29184","29104","29190",
"2022-08-16 12:25","29211","29182","29190",
"2022-08-16 12:30","29359","29255","29360",
"2022-08-16 12:35","29272","29321","29360",
"2022-08-16 12:40","29403","29376","29360",
"2022-08-16 12:45","29295","29420","29349",
"2022-08-16 12:50","29329","29479","29349",
"2022-08-16 12:55","29448","29577","29349",
"2022-08-16 13:00","29478","29713","29591",
"2022-08-16 13:05","29628","29846","29591",
"2022-08-16 13:10","29686","29932","29591",
"2022-08-16 13:15","29814","29972","29796",
"2022-08-16 13:20","29712","29993","29796",
"2022-08-16 13:25","29684","30022","29796",
"2022-08-16 13:30","29687","30058","30069",
"2022-08-16 13:35","29833","30092","30069",
"2022-08-16 13:40","30114","30116","30069",
"2022-08-16 13:45","30203","30129","30299",
"2022-08-16 13:50","30206","30139","30299",
"2022-08-16 13:55","29975","30156","30299",
"2022-08-16 14:00","30177","30180","30178",
"2022-08-16 14:05","29935","30196","30178",
"2022-08-16 14:10","30016","30190","30178",
"2022-08-16 14:15","30084","30161","30178",
"2022-08-16 14:20","29973","30119","30178",
"2022-08-16 14:25","30023","30074","30178",
"2022-08-16 14:30","30098","30026","29852",
"2022-08-16 14:35","30073","29981","29852",
"2022-08-16 14:40","29957","29945","29852",
"2022-08-16 14:45","29829","29918","29591",
"2022-08-16 14:50","29917","29873","29591",
